Title	URL	Assignees	Status	Estimated size	Real size	Labels
Link Transcripts and Demographic Data	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/5		Product Backlog			Corpus Management
Drill Down into a Theme	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/15		Product Backlog			Corpus View
Navigate to Source Quote	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/16		Product Backlog			Corpus View, Interview View
Select Demographic Dimensions	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/17		Product Backlog			Corpus View
View Demographic Breakdown	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/18		Product Backlog			Corpus View
Read Full Transcript	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/20		Product Backlog	8		Interview View, Sprint 3
Open Individual Interview	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/19		Product Backlog			Interview View
View Highlighted Themes	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/22		Product Backlog			Interview View
View Theme Legend	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/23		Product Backlog			Interview View
View Interviewee Demographics	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/24		Product Backlog			Interview View
Enter Natural Language Query	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/6		Product Backlog			Query & Analysis Initialization
Select Coding Mode	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/7		Product Backlog			Query & Analysis Initialization
Trigger Analysis Run	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/10		Product Backlog			Query & Analysis Initialization
Apply Codebook to Corpus	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/12		Product Backlog			System / AI Processing
Generate Codebook from Corpus	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/11		Product Backlog			System / AI Processing
LLM Selection Evaluation	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/44		Product Backlog			System / AI Processing
Instantiate persistent DB Server to be ready for use	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/36	julianlucawendlandt-jpg	Product Backlog			
Upload Demographic Data	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/3		Sprint Backlog	3		Corpus Management, Sprint 4
